corp_code,stock_name,stock_code,corp_name
260985,,36720,한빛네트
264529,,40130,엔플렉스
358545,,55000,동서정보기술
231567,,32600,애드모바일
359614,,56140,리더컴
153551,,12400,허메스홀딩스
344746,,45880,유티엑스
261188,,37830,글로포스트
268020,,30390,쏠라엔텍
269287,,41320,보홍
475286,,78420,동북아1호선박투자회사
250775,,46350,에듀아크
114321,,13650,데코
191108,,15390,엘앤씨피
167378,,19640,희훈디앤지
225210,,58690,퓨쳐인포넷
223346,,35400,쓰리디넷
174129,,24100,제일저축은행
114826,,26540,제일창업투자
173333,,16510,현대DSF
687599,,950030,네프로아이티
256292,,36790,자강
271431,,38830,케이엠에스
154727,,20070,에버리소스
246189,,37110,제이에스
154204,,7490,태창기업
152631,,17300,에이치비이에너지
358095,,56850,코어비트
510215,,82110,동북아8호선박투자회사
347619,,45760,한국통신데이타
372013,,62730,케너텍
353735,,55250,다휘
186540,,22520,코오롱아이넷
128759,,4620,캠브리지코오롱
535588,,89240,네오세미테크
264981,,45260,디에이치패션
231521,,32380,핸디소프트
159908,,9690,케이엠에이치
259493,,35710,씨엘엘씨디
359641,,114410,현대푸드시스템
161639,,12420,메리츠종합금융
211271,,34660,제넥셀세인
388272,,65340,쓰리디월드
264796,,43680,스톰이앤에프
134909,,35010,소예
236368,,48640,엠엔에프씨
684547,,103150,하이트맥주
251385,,66690,보광티에스
262682,,40740,아인스엠앤엠
234555,,38420,씨엔씨엔터프라이즈
507257,,84810,아이알디
417963,,67850,바이나믹
543523,,86720,코크렙제7호위탁관리부동산투자회사
300566,,54170,엔빅스
299376,,54010,선팩테크
112068,,1190,마이크로닉스
257194,,33720,블루스톤디앤아이
477372,,78700,신지소프트
465410,,76850,맥쿼리센트럴오피스기업구조조정부동산투자회사
331760,,48510,테스텍
200761,,30030,중앙디자인
268297,,42870,에코페트로시스템
161301,,21060,한림창업투자
237260,,36270,헤쎄나
297970,,37510,미래에셋굿라이프혼합형자녀를위한투자회사10-1
107358,,32030,일공공일안경콘택트
267474,,43630,지앤알
134051,,13240,셀런
596066,,93820,한국베트남15-1유전해외자원개발투자회사
347363,,52310,에이치원바이오
150226,,8400,씨앤중공업
152914,,1370,FnC코오롱
158839,,17010,제너비오믹스
159281,,11050,케드콤
210537,,65410,지엔텍홀딩스
240370,,44640,동부씨엔아이
247887,,51820,아이피에스
